"","X__1","artist.name","duration","key","latitude","location","longitude","mode","similar","tempo","terms","target_h","artist.hotness","artist_familiarity","bars_start","beats_start","end_of_fade_in","loudness","start_of_fade_out","tatums_start","time_signature","decade2"
"1",1,"Casual",218.93179,1,37.1573567501336,"California - LA",-63.9333578685195,0,"ARV4KO21187FB38008",92.198,"hip hop",0.60211999,0.401997543,0.581793766,0.58521,0.58521,0.247,-11.197,218.932,0.28519,4,"Not Available"
"2",2,"The Box Tops",148.03546,6,35.14968,"Memphis, TN",-90.04892,0,"ARSZWK21187B9B26D7",121.274,"blue-eyed soul",0.34,0.417499645,0.630630038,0.71054,0.20627,0.148,-9.843,137.915,0.20627,4,"1960"
"3",4,"Adam Ant",233.40363,0,37.1573567501336,"London, England",-63.9333578685195,1,"AR4R0741187FB39AF2",119.293,"pop rock",0.14,0.454231157,0.630382334,1.30621,0.81002,0.29,-9.013,217.124,0.56254,4,"1980"
"4",5,"Gob",209.60608,2,37.1573567501336,"Not available",-63.9333578685195,1,"ARUA62A1187B99D9B0",129.738,"pop punk",0.604500739,0.401723686,0.651045661,1.06368,0.13576,0.066,-4.501,198.699,0.13576,4,"2000"
"5",7,"Rated R",114.78159,1,37.1573567501336,"Ohio",-63.9333578685195,1,"ARF93II1187B99F981",111.787,"breakbeat",0,0.261941177,0.556495602,0.27253,0.27253,0.096,-17.302,114.782,0.05611,1,"Not Available"
"6",8,"Tweeterfriendly Music",189.57016,4,37.1573567501336,"Burlington, Ontario, Canada",-63.9333578685195,0,"ARJXL4Z1187B9A5920",101.43,"post-hardcore",0,0.605507136,0.801136447,0.65428,0.65428,0.319,-11.642,181.023,0.36129,3,"Not Available"
"7",9,"Planet P Project",269.81832,4,37.1573567501336,"Not available",-63.9333578685195,1,"ARWVP631187FB4D016",86.643,"new wave",0.265861049,0.332275747,0.426667857,1.91886,1.22595,5.3,-13.496,258.99,1.22595,4,"1980"
"8",11,"JennyAnyKind",218.77506,5,35.21962,"North Carolina",-80.01955,0,"AR9AM2N1187B9AD2F1",146.765,"alternative rock",0,0.296268954,0.360031167,0.11194,0.11194,2.125,-10.021,207.012,0.11194,1,"Not Available"
"9",12,"Wayne Watson",245.21098,7,37.1573567501336,"Wisner, LA",-63.9333578685195,1,"ARKNAD81187B98F8C9",117.975,"ccm",0.265861049,0.351555861,0.545159296,1.45439,0.42896,0.357,-7.545,227.48,0.1727,4,"Not Available"
"10",13,"Andy Andy",226.35057,9,37.1573567501336,"Not available",-63.9333578685195,1,"ARATQJ61187B9B97E3",130.04,"bachata",0,0.37948217,0.577508974,1.2229,0.29639,0.218,-6.632,221.553,0.06508,4,"Not Available"
